-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                            aten::split         0.10%     305.683us         0.42%       1.239ms      12.911us       0.000us         0.00%       0.000us       0.000us            96
                                           aten::narrow         0.14%     403.202us         0.32%     933.733us       4.863us       0.000us         0.00%       0.000us       0.000us           192
                                        aten::new_empty         0.12%     345.411us         0.31%     923.969us       4.812us       0.000us         0.00%       0.000us       0.000us           192
                    vllm::unified_attention_with_output         1.08%       3.174ms         2.35%       6.894ms     143.630us       0.000us         0.00%       1.661ms      34.613us            48
                                       aten::empty_like         0.13%     380.187us         0.38%       1.104ms       5.749us       0.000us         0.00%       0.000us       0.000us           192
                                 cudaDeviceGetAttribute         0.03%      82.078us         0.03%      82.078us       0.562us       0.000us         0.00%       0.000us       0.000us           146
                                   cudaFuncSetAttribute         0.04%     123.379us         0.04%     123.379us       2.570us       0.000us         0.00%       0.000us       0.000us            48
                                           aten::linear         0.06%     178.370us         0.98%       2.879ms      56.447us       0.000us         0.00%     687.650us      13.483us            51
                                                aten::t         0.05%     141.485us         0.10%     291.223us       5.710us       0.000us         0.00%       0.000us       0.000us            51
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 293.605ms
Self CUDA time total: 241.880ms
